obs_id,sample_idx,image,tag_id,reproj_error_px,marker_area_px2,distance_m,se3_trans_residual_m,se3_rot_residual_deg
0,3,3_Color.png,438,0.03561613490635009,1250.9876882193494,0.45507464901232053,0.01877262648931648,7.992111016098359
1,4,4_Color.png,99,0.3049709124016761,1143.5773409309331,0.45978468176880505,0.03788371307400889,46.79465276282486
2,5,5_Color.png,438,0.43744916992035765,1692.047687928367,0.39068055918188077,0.018772632944799538,9.180633080318389
3,5,5_Color.png,99,0.0226198323890758,1191.8681612759829,0.4288934898427795,0.015719365985013244,0.9356020327766393
4,6,6_Color.png,92,0.13155114078079183,1728.944870919804,0.3795328330933853,0.007009049448807921,5.932990440404786
5,7,7_Color.png,99,0.4645647905426186,1494.5826789378189,0.3831302742064877,0.05573784602634479,17.87679852536391
6,8,8_Color.png,392,0.029937392262932155,1087.9465054343455,0.4385184023838997,0.07343710745616175,5.379386611163988
7,13,13_Color.png,99,0.016491475573502393,1219.580749068351,0.46694547144246373,0.010023898762871996,15.82050726438971
8,13,13_Color.png,392,0.7655565578317912,1003.0663557587541,0.4886201737235999,0.07343707159179493,14.447074226793847
9,14,14_Color.png,99,0.1859893766024741,1017.0052795410156,0.504382872537161,0.06205882421822863,25.45701128990183
10,14,14_Color.png,92,0.5976608209703312,1056.5822968430002,0.4693820135258953,0.007009045450807449,5.929975006450667
