x,y,z,rx,ry,rz
46254,7748,141627,142162,49534,141639
110999,-2614,128288,129004,-256,82383
105123,9545,123172,-174243,-38194,2306
113262,-1940,158669,149192,67259,159008
43254,-2145,141380,121980,20406,101679
35756,-12232,133967,127540,-9080,74456
30359,17300,190836,-126576,39410,-101570
19580,20425,172826,-128690,4188,-75173
80293,28130,175740,99473,35634,91387
75176,25556,157473,137322,62656,127228
64232,42244,151189,-149613,62555,-139272
90670,-4468,177078,-115277,61640,-117047
83565,-21260,163422,131258,57517,110261
85731,-12311,158278,113933,-1163,76405
281567,9150,276486,170211,26809,159392
243315,-45181,225107,140714,-3124,103801
155545,14834,168564,-155180,49401,-142729
146826,9342,159113,177164,54799,-170234
172528,-24801,156265,140724,-11708,85364
